seed,target,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,source_roc_auc,source_pr_auc,source_balanced_accuracy,source_brier,delta_roc_auc,delta_pr_auc,delta_balanced_accuracy,brier_improvement,negative_adaptation_auc
0,hungary,pseudo_label_sfda,0.8163265306122449,0.8008329987956644,0.7452830188679245,0.7452830188679245,0.8563829787234043,0.7452830188679245,0.6016659975913288,0.8737956643918107,0.826313629883161,0.1377477681925506,161,27,27,79,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,-0.003010839020473499,-0.003719548930690264,-0.006172219991971151,-0.0008501744559020474,True
0,hungary,entropy_sfda,0.8095238095238095,0.7893416298675231,0.7450980392156863,0.7169811320754716,0.8617021276595744,0.7307692307692307,0.5837435248650932,0.873042954636692,0.8252025392079543,0.13746968429280437,162,26,30,76,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,-0.0037635487755921515,-0.004830639605897025,-0.01766358892011244,-0.0005720905561558132,True
0,hungary,reliability_gated_sfda,0.8197278911564626,0.8096647932557206,0.7387387387387387,0.7735849056603774,0.8457446808510638,0.7557603686635944,0.6134323151527619,0.8765556001605781,0.82990243758241,0.1370036387165923,159,29,24,82,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,-0.0002509032517060694,-0.00013074123144130034,0.0026595744680850686,-0.00010604497994373685,True
0,switzerland,pseudo_label_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7663043478260869,0.9804951828669686,0.1549252462916131,4,4,24,91,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,0.0,4.9665332623405334e-05,0.004347826086956497,0.0059944647021536734,False
0,switzerland,entropy_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7652173913043478,0.9804298786195282,0.15125589103710602,4,4,24,91,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,-0.0010869565217390686,-1.5638914816928917e-05,0.004347826086956497,0.009663819956660769,True
0,switzerland,reliability_gated_sfda,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7641304347826088,0.9802738588058276,0.16457794357828723,4,4,26,89,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,-0.0021739130434781373,-0.00017165872851754305,-0.004347826086956497,-0.0036582325845204433,True
0,va_long_beach,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7283195157257535,0.8798616887192439,0.1780552337118135,23,28,21,128,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,-0.0018423476773258285,-0.00070631708064961,0.0,0.0002264609388365202,True
0,va_long_beach,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7287143045137519,0.8794438163601161,0.17806193286263383,23,28,21,128,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,-0.0014475588893274605,-0.0011241894397773233,0.0,0.00021976178801619284,True
0,va_long_beach,reliability_gated_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7296354783524148,0.8803153571257932,0.17948138178159578,23,28,21,128,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,-0.0005263850506644907,-0.00025264867410024205,0.0,-0.001199687130945759,True
1,hungary,pseudo_label_sfda,0.8197278911564626,0.8055499799277399,0.7476635514018691,0.7547169811320755,0.8563829787234043,0.7511737089201878,0.6098617846919162,0.8796166198313932,0.8413975999753537,0.1331609230007597,161,27,26,80,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,-0.001204335608189333,-0.0008710143186536623,-0.0014552388598956245,-0.00027689742702924347,True
1,hungary,entropy_sfda,0.8231292517006803,0.8061521477318345,0.7596153846153846,0.7452830188679245,0.8670212765957447,0.7523809523809524,0.6149016993477194,0.8768566840626255,0.837496164057536,0.1332518250298193,163,25,27,79,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,-0.003964271376956985,-0.004772450236471326,-0.0008530710558010135,-0.00036779945608883535,True
1,hungary,reliability_gated_sfda,0.8163265306122449,0.8070052187876355,0.7321428571428571,0.7735849056603774,0.8404255319148937,0.7522935779816514,0.6071037363839146,0.8808209554395825,0.8423517496588527,0.1330796136139922,158,30,24,82,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,0.0,8.313536484538808e-05,0.0,-0.00019558804026173493,False
1,switzerland,pseudo_label_sfda,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.75,0.9771054283023506,0.15096387435365266,4,4,23,92,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.0,-0.0001931411027988883,0.013043478260869601,0.005423842178100879,False
1,switzerland,entropy_sfda,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7521739130434782,0.9775914559514183,0.1422897639436348,4,4,23,92,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.0021739130434782483,0.0002928865462688002,0.013043478260869601,0.014097952588118745,False
1,switzerland,reliability_gated_sfda,0.7479674796747967,0.6326086956521739,0.9565217391304348,0.7652173913043478,0.5,0.8502415458937198,0.15063335603943892,0.75,0.9772985694051495,0.15878234430741744,4,4,27,88,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.0,0.0,-0.004347826086956497,-0.0023946277756639045,False
1,va_long_beach,pseudo_label_sfda,0.75,0.6452164758520857,0.8152866242038217,0.8590604026845637,0.43137254901960786,0.8366013071895425,0.30813430877745046,0.7352941176470589,0.8883004922139415,0.1753080979252165,22,29,21,128,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,-0.002895117778655032,-0.0014643129341368466,-0.006448216870640899,1.1037263839885902e-05,True
1,va_long_beach,entropy_sfda,0.75,0.6452164758520857,0.8152866242038217,0.8590604026845637,0.43137254901960786,0.8366013071895425,0.30813430877745046,0.7352941176470589,0.8883228979135769,0.1746911356868793,22,29,21,128,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,-0.002895117778655032,-0.0014419072345014383,-0.006448216870640899,0.0006279995021770957,True
1,va_long_beach,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.73832083168838,0.88987922017518,0.17604449639275682,23,28,22,127,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,0.00013159626266612268,0.0001144150271016331,0.0,-0.0007253612037004253,False
2,hungary,pseudo_label_sfda,0.8163265306122449,0.7967181854676837,0.7549019607843137,0.7264150943396226,0.8670212765957447,0.7403846153846154,0.5986256438652958,0.8773584905660378,0.8271185529065512,0.13491934195253497,163,25,29,77,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,-0.0007025291047771942,-0.00011287734410037054,-0.004967884383781596,2.9954760340400455e-05,True
2,hungary,entropy_sfda,0.8095238095238095,0.7852268165395424,0.7551020408163265,0.6981132075471698,0.8723404255319149,0.7254901960784313,0.5810468272831243,0.8764050582095544,0.8241138192846675,0.13437486912325994,164,24,32,74,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,-0.0016559614612605689,-0.0031176109659840634,-0.016459253311922883,0.0005744275896154283,True
2,hungary,reliability_gated_sfda,0.8163265306122449,0.8070052187876355,0.7321428571428571,0.7735849056603774,0.8404255319148937,0.7522935779816514,0.6071037363839146,0.8780610196708151,0.8267955135915095,0.13498797229937662,158,30,24,82,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,1.1102230246251565e-16,-0.0004359166591421104,0.005319148936170248,-3.8675586501252246e-05,False
2,switzerland,pseudo_label_sfda,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7521739130434782,0.9781875113639085,0.15491981123543777,4,4,26,89,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,-0.004347826086956497,-0.000507532065385341,0.004347826086956497,0.005828894032468418,True
2,switzerland,entropy_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7521739130434784,0.9781526254397729,0.15044110561575724,4,4,24,91,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,-0.004347826086956386,-0.0005424179895209269,0.01304347826086949,0.010307599652148947,True
